,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,-log10(padj),expression
hsa-miR-10401-3p,-1.60959251929428,6.78269542832881,-2.35016591888534,0.0220780397651789,0.0406700732516453,-4.09606868862754,-2.28902259217106,1.3907250453786262,P.adj < 0.05 & log2FC < -1
hsa-miR-15b-5p,-1.34094580254648,8.58008123844367,-2.33460903551598,0.0229696158391397,0.0420358982677066,-4.03231415937353,-2.2739396413209,1.3763796676820497,P.adj < 0.05 & log2FC < -1
hsa-miR-4286,-0.917423220705686,10.6131888811036,-2.3257680713752,0.0232457827690512,0.0422650595800932,-4.04256481921218,-2.26937085888387,1.3740185144728452,P.adj < 0.05
hsa-miR-590-5p,-1.10510638956739,7.79993087803792,-2.31538512191312,0.0237052367270247,0.0428223631197866,-4.12887617412525,-2.26187323050622,1.3683293701670975,P.adj < 0.05 & log2FC < -1
hsa-miR-181a-3p,-1.26714961329194,7.16220461044363,-2.30882819488039,0.0244774775116663,0.0439339339952984,-4.17663122076223,-2.24955075460644,1.3571999067744107,P.adj < 0.05 & log2FC < -1
hsa-miR-106b-5p,-1.10582784167756,8.39596807483352,-2.26960540328888,0.0265002274681394,0.0472615521724778,-4.24671923996485,-2.21880156557233,1.3254920192911976,P.adj < 0.05 & log2FC < -1
hsa-miR-29c-3p,0.767519996969691,13.4046111222463,2.27412333921271,0.0268990235604633,0.0476691556767704,-4.09277250628914,2.21298001418336,1.3217625402937871,P.adj < 0.05
hsa-miR-451a,-1.03702974340806,10.2951445761349,-2.27314777465121,0.0273451112484308,0.0481549128903184,-4.0519286852597,-2.20655575073456,1.3173593984187417,P.adj < 0.05 & log2FC < -1
hsa-miR-1972,-1.89883102711474,11.5010551019466,-2.25736343674466,0.0278261751086985,0.0486958064402224,-4.26362044594506,-2.19972833626129,1.312508437518199,P.adj < 0.05 & log2FC < -1
hsa-miR-1273h-5p,-1.89979581407169,10.6598031584843,-2.25051288154697,0.0281470730489094,0.0488541748270218,-4.29403553946767,-2.19523042202535,1.3110983177821178,P.adj < 0.05 & log2FC < -1
hsa-miR-1249-3p,-1.15389527966712,7.69136364894599,-2.24284417308928,0.0282656297213483,0.0488541748270218,-4.30057960708093,-2.19357983059815,1.3110983177821178,P.adj < 0.05 & log2FC < -1
hsa-miR-5585-3p,-1.84198779052562,10.4105539589108,-2.23613610689672,0.0290612864907265,0.0499212283276283,-4.32558160514449,-2.18265418154866,1.3017147372409377,P.adj < 0.05 & log2FC < -1
hsa-miR-29c-5p,0.963919072814187,9.24088741872287,2.20672728790824,0.0308121479867133,0.0526061063187788,-4.36955445147559,2.15949031389841,1.2789638416517595,NS
hsa-miR-505-5p,-1.0747392762739,6.97531714696457,-2.20247835768108,0.0321777797410106,0.0543559062261656,-4.33933014044333,-2.14219517351677,1.2647532592672748,NS
hsa-miR-12136,-1.098878735648,9.00462761483023,-2.18986161868392,0.0322252872626553,0.0543559062261656,-4.39824766801023,-2.14160492287827,1.2647532592672748,NS
hsa-miR-16-5p,-0.742665524179763,12.4394089082262,-2.15995480486051,0.0344079242408517,0.057689932858913,-4.39111361352041,-2.11525846696832,1.2388999664850984,NS
hsa-miR-548z,-1.65002782127003,7.26921855351272,-2.15797098226353,0.0348291099910017,0.0580485166516694,-4.51223114631794,-2.11033965776798,1.2362088735692591,NS
