,logFC,AveExpr,t,P.Value,adj.P.Val,B,z.std,-log10(padj),expression
hsa-miR-8485,-1.34773013556696,14.7219882314411,-2.81891986467568,0.0071616088996506,0.0116584330924545,-3.38512235401074,-2.68923450747863,1.9333598153599019,P.adj < 0.05 & log2FC < -1
hsa-miR-625-5p,-0.786901838349109,6.95180573982273,-2.81043807081826,0.0076351108394766,0.0123574048268986,-3.5015813127321,-2.66779376824929,1.9080727256628103,P.adj < 0.05
hsa-miR-425-5p,-0.900424983082244,9.44465665179902,-2.77381495718661,0.0079184920132711,0.0127363355028845,-3.57891218460902,-2.6555256121976,1.8949555091908705,P.adj < 0.05
hsa-miR-4800-5p,-1.42987403048299,10.1331234583953,-2.77989008543992,0.0079602096893028,0.0127363355028845,-3.52077722051865,-2.65375289238161,1.8949555091908705,P.adj < 0.05 & log2FC < -1
hsa-miR-101-5p,1.00291033843096,7.24206848186896,2.7088571673706,0.0085886774183227,0.0136638049836953,-3.68072042928283,2.6280068975933,1.864428345067644,P.adj < 0.05 & log2FC > 1
hsa-let-7a-3p,-0.830696858373162,7.71794378871471,-2.62512021748134,0.0107501214912956,0.0170058419071343,-3.89245047492706,-2.5507181768153,1.7694018626097183,P.adj < 0.05
hsa-miR-27b-3p,0.743428505540654,9.31074273038209,2.61911330527135,0.012280827251095,0.0192274448462291,-3.92092626404681,2.50397050223536,1.716078425741431,P.adj < 0.05
hsa-miR-1303,-1.62416906836641,7.98369026033314,-2.61159603598958,0.0122918308124107,0.0192274448462291,-3.91290602974472,-2.50365361445098,1.716078425741431,P.adj < 0.05 & log2FC < -1
hsa-miR-548o-5p,-1.25328567607253,6.60888891377328,-2.60308274679393,0.0127756881963432,0.0198732927498672,-3.9509490837435,-2.48996164402584,1.701730169899605,P.adj < 0.05 & log2FC < -1
hsa-miR-548c-5p,-1.25321002878387,6.62359881762692,-2.58313079027119,0.0134990300198098,0.0208702434269373,-3.99677448873672,-2.47032512944479,1.6804724853687065,P.adj < 0.05 & log2FC < -1
hsa-miR-22-5p,-0.933521717103059,8.32583233699973,-2.57346673563023,0.0135656582275093,0.0208702434269373,-4.03316694127514,-2.46856349674549,1.6804724853687065,P.adj < 0.05
hsa-let-7f-5p,-0.417922946651464,14.4787603213137,-2.58142153577883,0.0139396841833816,0.0213284785319499,-4.04445181202444,-2.45881393596414,1.6710401238635506,P.adj < 0.05
hsa-miR-29b-2-5p,0.75010740444401,8.21151967235825,2.4675115039173,0.0162030522923534,0.0246568187057552,-4.27488347581583,2.40430941960521,1.6080629580591115,P.adj < 0.05
hsa-miR-1285-3p,-1.54482904223587,8.28880110253469,-2.48391609974037,0.0170998749920861,0.0258808918799141,-4.19099430063451,-2.38455320823729,1.587020761548503,P.adj < 0.05 & log2FC < -1
hsa-miR-204-5p,0.925092539620106,7.78872940381334,2.43129450567381,0.0198621164698039,0.0298999602771241,-4.3253824501488,2.32894241638448,1.5243293886467164,P.adj < 0.05
hsa-miR-6724-5p,-1.26320094818883,7.50621535088764,-2.37114049181463,0.0221382086728146,0.0331481199379043,-4.44248249999626,-2.28798819368393,1.4795410984431627,P.adj < 0.05 & log2FC < -1
hsa-miR-219a-2-3p,-0.84719720991709,9.29442154744231,-2.37368211443204,0.0229084536047782,0.034118973453925,-4.47094343186028,-2.27495793101277,1.4670040440344831,P.adj < 0.05
hsa-miR-454-3p,-0.788151129113524,8.58771184456929,-2.2918874418338,0.0271580791048369,0.0402341912664251,-4.65767726730735,-2.20923817215342,1.3954047238525937,P.adj < 0.05
hsa-miR-548aa,-1.41385000109634,8.9427739233952,-2.21264429599228,0.0320257674028071,0.0471958677515052,-4.78137287499758,-2.14408886119399,1.3260960244862678,P.adj < 0.05 & log2FC < -1
hsa-miR-548t-3p,-1.40706749448106,8.92593943788299,-2.20877436044375,0.0323102449455804,0.0473658041087043,-4.79033069841457,-2.14055123438228,1.3245350854672293,P.adj < 0.05 & log2FC < -1
hsa-miR-548aj-5p,-1.00046308934211,6.6006841075497,-2.13823658195201,0.038801591956567,0.0565856549366602,-4.944731979818,-2.06628484065854,1.247293653113275,NS
hsa-miR-1285-5p,-1.2448935004332,9.33825191640816,-2.10995882874383,0.0405712831334911,0.058859892628899,-4.99424937940134,-2.04788485549852,1.2301805344674512,NS
hsa-miR-4485-5p,-0.777980554954554,7.42000543629571,-2.10425025526682,0.0415268244163235,0.0599356228689206,-5.01961397750824,-2.03823112240343,1.2223149769940922,NS
hsa-miR-421,-0.731067912419315,7.79452351162854,-2.0880623969028,0.0426687857572056,0.0612680000616286,-5.066134432823,-2.02693768663906,1.2127662958778502,NS
hsa-miR-7851-3p,-1.02201070200724,6.78975429167981,-2.09995587532491,0.0429408369907094,0.0613440528438705,-5.01364277869588,-2.02428499133447,1.2122275346857123,NS
hsa-miR-1277-3p,-0.668323240726771,7.05147003516547,-2.02522781278978,0.0494382717302394,0.0702675943373961,-5.18876532887515,-1.96479238672914,1.1532449145982324,NS
hsa-miR-30d-5p,0.709432932221466,8.31299030512025,1.99908396864984,0.0509361124680309,0.0720308661164073,-5.25075065049705,1.95201762203549,1.1424813631309194,NS
hsa-miR-92b-3p,-0.81149360780636,9.77082556029158,-2.02219751431923,0.0517621912546665,0.0728312238759127,-5.11023943809324,-1.94510625485654,1.1376823919805166,NS
hsa-miR-6803-5p,-0.896151252422118,6.78414117931485,-1.9968731061482,0.0528747476019717,0.0740246466427603,-5.21284095332615,-1.93594246843582,1.13062365704188,NS
hsa-miR-151a-3p,-0.603220279592534,9.10133452049132,-1.96666172220843,0.0558381750346311,0.077784522436302,-5.29110934529596,-1.91229649588031,1.1091068103267236,NS
hsa-miR-3651,-0.755611151435593,7.19431158587738,-1.91574225237319,0.0597254009823394,0.0824145498506283,-5.40173892331391,-1.88281531387262,1.0839961091521353,NS
hsa-miR-10395-3p,-0.523590334221602,9.98723247956496,-1.93645558112338,0.0597505486417055,0.0824145498506283,-5.39056199756559,-1.88262984661988,1.0839961091521353,NS
hsa-miR-4485-3p,-0.822340916824349,7.97002133781659,-1.88547888050827,0.0637616771630342,0.0875160274786744,-5.45525515576911,-1.85384263285587,1.0579124040276284,NS
